doc_id,label,train_id,text
doc00621,book,train,"After reading all 24 Warrior books and the stand alone warrior books in less than 2 months, I now eagerly await each new book. Read this one last week and I am not disappointed! Learning about the origins of the Clans is good reading!!"
doc02023,book,valid,"Mysterious artifacts are discovered on a ridge where a huge lake once existed, 10,000 years ago, in North Dakota. The technology that is gained from the artifacts threatens to render obsolete much of modern day technology and industries. The government is therefore interested in acquiring the land area, to assist in managing a collapsing stock market, and international problems relating to the discoveries. The interesting angle to this story is this - the land is on Sioux reservation territory, and the Sioux view the matter as an opportunity to strengthen vanishing traditions. They are somewhat divided on the issue, but the consensus is to keep the land. The book's focus is not in resolving mysteries about the artifacts, but instead is on the effects they have on people of all walks of life. Many characters are briefly introduced throughout the story, and many do not have vital roles in it. But each, in my view, serve the purpose of showing all the myriad interests and potential problems that individual views about the artifacts could have on society. I found many characters to be colorful and interesting. The book is soundly written, and the pace is quiet and poetic at times. Many things are not resolved, but I found the story to be a thoughtful exploration of problems, rather than solutions. While I thouroughly enjoyed it, the book is certainly not without some flaws. The major one, for sure, is the abrupt and ridiculous ending. I simply could not fathom it as remotely possible, and so for me it was as though there really wasn't an ending at all. It provided a resolution for the author, but not for the reader. That was disappointing, but I could not discount the rest of the book, which was memorable overall."
doc00253,book,valid,My 2 year old loves Biscuit so I was really excited to see this big book of stories!  Would love to see more available!
doc04551,book,valid,"You must read the whole set of books to really understand this story, very magical and lots to keep the mind busy"
doc06791,book,train,"Characters are stereotypical, plot predictable. Rich, socially conscious girl, poor, talented doctor fall in love, go to war. Ho hum."
doc01775,book,train,"It is a sweltering summer in Newark, New Jersey, 1944, and Bucky Cantor is a young man working as a playground supervisor. Bucky is a kind, brave and upstanding young man who suffers a great deal of guilt throughout this novel. First, his guilt is based around the fact that his absent father was a thief and a petty criminal. Brought up by his loving grandparents, Bucky wants to make the memory of his adored grandfather proud and live up to the aspirations and success of his girlfriend and her family. Bucky also has a sense of shame about not being able to fight in the war as his friends are, he is a young man with excellent health, but poor eyesight. Still, the children at the playground adore and look up to him, and Bucky does his best to keep them safe and entertained during the hot, long, summer days.Tragedy strikes in the form of a polio epidemic, for this is before the days of a vaccine or successful treatment, when polio could mean death, permanent disability, or the horror of an iron lung. What is more, the disease was indiscriminate, hitting emotively mostly at young children. Roth evokes that time and those emotions evocatively, in a small community where nobody knows who (or what) causes the deadly disease and how to avoid it spreading unchecked. Are the playgrounds safe and is Bucky in some way to blame? This novel is narrated by one of the young boys who spent that summer observing events, as the story takes us through a tragic time and it's outcome. Although this is a fairly short novel, there is not a word wasted and it is hard not to be affected by this story of a past time when suspicion and fear raged and a disease caused destruction amongst the children of a community."
doc05445,book,train,"I had this book on my Wish list for months and finally found it at the public library. I read it last week and was glad that it was a library read and not a purchase or gift. The book was mediocre at times and the stories varied in terms of the quality of the narration and writing.The ""Use Me"" short story was by far the most compelling piece in the collection. I was left breathless at the end of that story and I wished that the rest of the stories were as powerful."
doc01287,book,valid,"Unlike the original Rambo, author Craig Thomas has brought his troubled Air Force Nam vet through four stories--this book, a sequel ""Firefox Down"" that continues the journey of Gant's stolen MiG out of Soviet airspace into Scandinavia, ""Winterhawk"" in which Gant uses a MiL chopper that the Israelis stole for the US to rescue a deep cover agent from their Baikonur rocket base, and ""A Different War"" which was never published for US release (I bagged a used copy of that one courtesy of rare book site Alibris). In that one, Gant is called upon to investigate an airline tragedy that ends up having corporate skulduggery at its roots--thus its title. The Gant of the printed page is a bit different from the Gant on the screen--in action roles, Eastwood always plays his characters as laconic and menacing. This Gant is more intense, more of an envelope-pusher. As such, he's a lot like David Morrell's Rambo--you'd never make the connection on the screen."
doc01489,book,valid,"I recently read Hume's famous bookA Treatise of Human Nature(first published in 1738), and I thought I would follow it up by reading Whitehead's famous bookProcess and Reality: An Essay in Cosmology(written for the 1927-28 Gifford Lectures). I doubt that reading Whitehead's book was the best use of my time (I was carried away by my curiosity), so I'll write a little review that may help you decide if it's worth your time.Whitehead says in the book's preface: ""These lectures are based upon a recurrence to that phase of philosophic thought which began with Descartes and ended with Hume."" So this book is basically a mid-1920s critique of 17th- and 18th-century European philosophy. If you are not a scholar of European intellectual history but you are curious about Whitehead's concepts, it might not be the best use of your time to read this book; you might be better served by reading one of the more recent studies of this book, such as Elizabeth Kraus'sThe Metaphysics of Experience: A Companion to Whitehead's Process and Reality(first published in 1979 and reissued in 1998).The conceptual system that Whitehead constructs in this book is a kind of inversion of Spinoza's system. As Whitehead says: ""Also it is close to Spinoza; but Spinoza bases his philosophy upon the monistic substance, of which the actual occasions are inferior modes. The philosophy of organism [Whitehead's name for his conceptual system in this book] inverts this point of view."" As I see it, Spinoza's famous bookEthics(first published in 1677) is a much better book than Whitehead's; I think Spinoza's book is more tightly and carefully constructed, and features more explicit practical implications for how to live one's life (although I really disagree with Spinoza's attitude toward nonhuman animals, and I think that one could easily show how opposite conclusions about how to treat nonhuman animals follow from Spinoza's same basic premises). In comparison, Whitehead's book struck me as more sloppily constructed (in its overall structure) and without much practical consequence.The most innovative part of Whitehead's book, as I see it, was Whitehead's use of what he calls ""non-metrical geometry,"" which was perhaps a proto-mereotopology. In recent years this kind of thinking has been put to good use by philosophers such as Antony Galton and Barry Smith, and computer scientists such as Anthony Cohn and Jochen Renz. Whitehead's use of geometry to repudiate ""the trust in language as an adequate expression of propositions"" was on the right track. With the advent of digital computers, and as our lives become permeated by increasingly sophisticated geographical information systems and other applications of geometry and scientific imaging, the inadequacy of language, and the availability of practical alternatives for dealing with that inadequacy, is ever more apparent.I should note that the Gifford Lectures that immediately preceded and followed this book have also become famous: Eddington'sThe Nature of the Physical World(written for the 1926-27 Gifford Lectures) and Dewey'sThe Quest for Certainty: A Study of the Relation of Knowledge and Action(written for the 1928-29 Gifford Lectures). Another book that dates from the same time period but is, in my view, more cogent than Whitehead's book, is Weyl'sPhilosophy of Mathematics and Natural Science(first published in 1927). If I could only read one of these books from this time period, Whitehead's would probably not be the one I would choose.Dewey's Gifford Lectures, given a year after Whitehead's, contain a statement which is interesting to think about in relation to Whitehead's book: ""Persons having the advantage of positions of leisure and who find pleasure in abstract theorizing--a most delightful indulgence to those to whom it appeals--have a large measure of liability for a cultivated diffusion of ideals and aims that are separated from the conditions which are the means of actualization."""
doc02270,book,valid,"In Denis Johnson's newest novel, the narrator presents a mostly affecting and occasionally comic meditation on loss and the things that still might tie one to life in a universe empty of meaning or permanence.  The theme is  as old as Lucretius, and the narrator's solution is reminiscent of Keats'  line preferring &quot;a life of sensations rather than thoughts&quot;  The  emotionally dead narrator accordingly is brought back to 'life' by sudden  outbursts of anger and a crying jag equally unplanned.  Rather than trying  to figure things out or anticipate the future, he elects to go with the  flow of things inside and outside of himself.  Perhaps fresher, and more  persuasive, are the narrator's paeons to unpremeditated artistic  expression, as in his commendations of a small child's lute playing which  focuses solely and impressively on the truth of the music, not the notes in  themselves; or in the praise of the &quot;harmony&quot; in the singing of a  group of not overly reflective fundamentalists. The strength of this novel  lies chiefly, I think, in the gorgeousness of its phrases.  Johnson refers  to a &quot;banana moon,&quot; &quot;the waterfall noise of a stadium  crowd,&quot; etc. The world of the narrator, one of time and change, has  been set before us with beauties that do not themselves quickly pass away."
