year,ward,cost,category,program,description,category_street,pct_income_under25,pct_income_25_50,pct_income_50_100,pct_income_100_150,pct_income_over150,pct_white,pct_hispanic,pct_black,pct_asian,plurality
2015,20,$3700,Streets & Transportation,Street Speed Hump Menu,ON E 50TH PL FROM S PEORIA ST (900 W) TO S MORGAN ST (1000 W),Pedestrian,53.01,24.54,16.21,4.43,1.81,14.59,13.8,77.69,1.72,black
2016,49,$11431,Streets & Transportation,Alley Apron Menu,6700 N GREENVIEW AVE,Car,32.8,25.99,26.21,9.1,5.9,56.92,20.15,28.42,5.9,white
2022,14,$11341.36,Streets & Transportation,Street Resurfacing (2022),ON W 49TH ST FROM 4413 W TO S KOSTNER AVE (4400 W),Car,24.37,29.86,31.33,9.84,4.6,51.85,81.58,1.84,2.78,hispanic
2013,14,$5146,Streets & Transportation,Sidewalk Menu,ON W 54TH ST FROM S SACRAMENTO AV (3000 W) TO S ALBANY AV (3100 W),Pedestrian,24.37,29.86,31.33,9.84,4.6,51.85,81.58,1.84,2.78,hispanic
2015,43,$700,Streets & Transportation,"In-Road ""State Law Stop For Pedestrians"" Signs",N CLARK ST & W SCHUBERT AVE,Pedestrian,13.54,10.77,27.47,18.03,30.2,83.93,5.6,5.01,6.96,white
2016,9,$71205,Streets & Transportation,Street Resurfacing Menu,ON S WENTWORTH AVE FROM W 99TH ST (9900 S) TO W 100TH ST (10000 S),Car,38.72,24.75,24.84,7.99,3.7,5.61,4.96,92.55,0.15,black
2013,22,$17429,Streets & Transportation,Sidewalk Menu,ON S KOMENSKY AVE FROM W 32 ST (3200 S) TO Dead End (3225 S),Pedestrian,30.71,32.85,26.02,7.91,2.5,58.47,85.69,5.54,0.41,hispanic
2022,17,$53202.57,Streets & Transportation,Street Resurfacing (2022),ON W 73RD ST FROM S HOMAN AVE (3400 W) TO S ST LOUIS AVE (3500 W),Car,41.31,30.79,20.74,5.09,2.07,9.5,19.79,75.48,0.29,black
2014,47,$0,Streets & Transportation,Resurfacing Alley Speed,N WINCHESTER AVE & W AINSLIE ST&N WOLCOTT AVE &,Car,10.93,16.32,29.62,18.22,24.92,85.33,12.23,2.65,5.58,white
2020,13,$350,Streets & Transportation,"In-Road ""State Law Stop For Pedestrians"" Signs",W 63RD ST & S MENARD AVE,Pedestrian,16.64,25.68,34.07,15.91,7.7,61.67,66.53,2.43,0.42,hispanic
2017,15,$1400,Streets & Transportation,Alley Speed Hump Menu (2017),S DAMEN AVE & W 48TH ST&S WINCHESTER AVE & W 49TH ST,Pedestrian,36.61,34.26,22,4.99,2.13,45.96,73.88,19.26,1.98,hispanic
2015,8,$3200,Lighting,Street Light Upgrade Menu,ON E 73RD ST FROM S CONSTANCE AVE (1820 E) TO S STONY ISLAND AVE (1600 E) . Current W.O # : 11530802 -,NA,38.52,25.69,24.18,8.08,3.53,1.62,1.21,96.77,0.24,black
2012,38,$17318,Streets & Transportation,Sidewalk Menu,ON N AUSTIN AVE FROM W DAKIN ST (3932 N) TO W IRVING,Pedestrian,19.54,20.31,33.82,16.5,9.84,82.86,24.7,1.55,4.72,white
2012,34,$38981,Streets & Transportation,Street Resurfacing Menu,ON S SANGAMON ST FROM W 100 ST (10000 S) TO W 101 ST (10100 S),Car,33.38,24,27.52,11.02,4.07,2.88,3.5,93.01,0.19,black
2012,20,$7855,Streets & Transportation,Sidewalk Menu,ON E 68TH ST FROM S ST LAWRENCE AV (600 E) TO S ST,Pedestrian,53.01,24.54,16.21,4.43,1.81,14.59,13.8,77.69,1.72,black
2019,23,$63929.82,Streets & Transportation,Street Resurfacing (2019),ON E 65TH PL FROM S HOMAN AVE (3400 W) TO S ST LOUIS AVE (3500 W),Car,18.88,25.87,32.15,15.59,7.51,62.46,68.36,2.28,1.61,hispanic
2014,14,$8420,Streets & Transportation,Sidewalk Menu,ON S LOTUS AVE FROM W 51ST ST (5100 S) TO W 52ND ST (5200 S),Pedestrian,24.37,29.86,31.33,9.84,4.6,51.85,81.58,1.84,2.78,hispanic
2019,17,$41875.85,Streets & Transportation,Sidewalk (2019),7300 S MARSHFIELD AVE,Pedestrian,41.31,30.79,20.74,5.09,2.07,9.5,19.79,75.48,0.29,black
2014,46,$26946,Streets & Transportation,Alley Resurfacing Menu,N HALSTED ST & W ADDISON ST&N BROADWAY & W WAVELAND AVE,Car,27.39,18.54,27.77,14.4,11.9,67.71,12.88,18.39,7.65,white
2014,33,$79962,Streets & Transportation,Street Resurfacing Menu,ON W CULLOM AVE FROM N SPAULDING AVE (3300 W) TO N KEDZIE AVE (3200 W),Car,19.94,24.22,29.62,14.15,12.08,71.64,47.93,4.41,9.26,white
2015,44,$700,Streets & Transportation,"In-Road ""State Law Stop For Pedestrians"" Signs",W BELMONT AVE & N ORCHARD ST,Pedestrian,13.74,15.14,28.47,18.86,23.79,86.15,6.85,3.03,7.02,white
2016,31,$0,Streets & Transportation,Alley Speed Hump,N KOSTNER AVE & W BELMONT AVE&N LOWELL AVE & W BARRY AVE,Pedestrian,26.42,25.25,30.96,11.43,5.94,53.55,76.84,3.18,1.92,hispanic
2018,13,$12684.54,Streets & Transportation,Alley Apron Menu (2018),6635 W 59TH ST,Car,16.64,25.68,34.07,15.91,7.7,61.67,66.53,2.43,0.42,hispanic
2021,37,$8090.43,Streets & Transportation,Sidewalk (2021),901 N KEYSTONE AVE,Pedestrian,40.7,27.9,23.41,5.49,2.5,8.04,26,71.26,0.37,black
2012,17,$110271,Streets & Transportation,Curb & Gutter Menu,ON S YALE AVE FROM W 80 ST (8000 S) TO W 81 ST (8100 S),Car,41.31,30.79,20.74,5.09,2.07,9.5,19.79,75.48,0.29,black
2019,21,$10806.09,Streets & Transportation,Sidewalk (2019),9300 S UNION AVE,Pedestrian,37.97,23.43,25.98,8.59,4.02,1.18,1.15,96.84,0.24,black
2018,48,$90000,Streets & Transportation,Street Resurfacing Menu (2018),W BRYN MAWR AVE & N SHERIDAN RD,Car,27.55,24.5,27.89,10.81,9.25,66.05,14.5,14.91,12.94,white
2022,37,$29539.1,Streets & Transportation,Alley Resurfacing (2022),W NORTH AVE & N LOTUS AVE&N LINDER AVE & W LE MOYNE ST; 5445 W NORTH AVE,Car,40.7,27.9,23.41,5.49,2.5,8.04,26,71.26,0.37,black
2014,24,$3700,Streets & Transportation,Street Speed Hump Menu,ON W LEXINGTON ST FROM S ALBANY AVE (3100 W) TO S KEDZIE AVE (3200 W),Pedestrian,45.5,27.1,20.35,5.37,1.68,13.02,22,74.93,0.28,black
2015,15,$1400,Streets & Transportation,Alley Speed Hump Menu,W 46TH ST & S TALMAN AVE&W 47TH ST & S ROCKWELL ST,Pedestrian,36.61,34.26,22,4.99,2.13,45.96,73.88,19.26,1.98,hispanic
2012,43,$1260,Streets & Transportation,Bollard Menu,ON N COMMONWEALTH AVE FROM 2376 N TO W BELDEN AV (2300 N),Car,13.54,10.77,27.47,18.03,30.2,83.93,5.6,5.01,6.96,white
2016,47,$600,Streets & Transportation,In-Road 'State Law Stop For Pedestrians' Signs Menu,W MONTROSE AVE & N CLAREMONT AVE,Pedestrian,10.93,16.32,29.62,18.22,24.92,85.33,12.23,2.65,5.58,white
2019,9,$52353.41,Streets & Transportation,Sidewalk (2019),ON W 102ND ST FROM S LAFAYETTE AVE (30 W) TO S STATE ST (0 E),Pedestrian,38.72,24.75,24.84,7.99,3.7,5.61,4.96,92.55,0.15,black
2015,12,$400,Lighting,Street Light Upgrade Menu,2141 S CALIFORNIA AVE . Current W.O # : 11531200 -,NA,30.14,31.55,26.76,8.28,3.27,44.05,68.69,12.96,9.25,hispanic
2021,50,$46126.96,Streets & Transportation,Street Resurfacing (2021),ON N FAIRFIELD AVE FROM W DEVON AVE (6400 N) TO W ARTHUR AVE (6500 N),Car,22.01,25.95,28.31,13.19,10.54,56.45,17,12.83,21.91,white
2023,13,$18429.23,Streets & Transportation,Sidewalk (2023),5708 S SAYRE AVE; 5756 S SAYRE AVE,Pedestrian,16.64,25.68,34.07,15.91,7.7,61.67,66.53,2.43,0.42,hispanic
2013,11,$20637,Streets & Transportation,Sidewalk Menu,ON S UNION AVE FROM W 46 ST (4600 S) TO W 47 ST (4700 S),Pedestrian,27.46,24,26.41,12.5,9.63,47.3,22.98,6.97,35.6,white
2016,41,$37250,Streets & Transportation,Street Resurfacing Menu,ON N OLYMPIA AVE FROM W NORWOOD ST (6030 N) TO W PETERSON AVE (6000 N),Car,17.36,17.73,30.52,16.4,17.99,86.31,14.1,1.16,5.21,white
2022,30,$8365.02,Streets & Transportation,Sidewalk (2022),4727 W BERENICE AVE,Pedestrian,20.36,28.69,30.68,12.32,7.95,68.82,66.64,2,3.14,white
2022,48,$600,Streets & Transportation,"In-Road ""State Law Stop For Pedestrians"" Sign",N CLARK ST & W SUMMERDALE AVE,Pedestrian,27.55,24.5,27.89,10.81,9.25,66.05,14.5,14.91,12.94,white
2016,3,$36103,Streets & Transportation,Sidewalk Menu,ON W 16TH ST FROM S CLARK ST (100 W) TO S DEARBORN ST (36 W),Pedestrian,33.11,16.03,23.03,13.22,14.61,23.16,4.82,63.03,9.81,black
2013,24,$46098,Streets & Transportation,Sidewalk Menu,ON S TRUMBULL AVE FROM W 21 ST (2046 S) TO W CERMAK RD (2200 S),Pedestrian,45.5,27.1,20.35,5.37,1.68,13.02,22,74.93,0.28,black
2022,36,$3907.92,Streets & Transportation,Sidewalk (2022),2110 N MERRIMAC AVE,Pedestrian,20.57,27.98,31.27,13.76,6.43,55.91,68.97,3.5,4.11,hispanic
2023,45,$725,Streets & Transportation,Alley Speed Hump (2023),N MILWAUKEE AVE & W HUTCHINSON ST&W CULLOM AVE & N LAMON AVE,Pedestrian,16.16,20.11,32.72,16.95,14.06,77.63,26.87,1.62,7.96,white
2016,1,$53063,Streets & Transportation,Street Resurfacing Menu,ON N OAKLEY AVE FROM W ERIE ST (640 N) TO W SUPERIOR ST (730 N),Car,17.54,15.25,28.21,17.65,21.34,78.92,34.38,5.54,4.02,white
2021,11,$500,Lighting,Street Light Upgrade (2021),3512 S PARNELL AVE,NA,27.46,24,26.41,12.5,9.63,47.3,22.98,6.97,35.6,white
2013,16,$0,Streets & Transportation,Resurfacing Street Speed,ON S MAPLEWOOD AVE FROM W 57TH ST (5700 S) TO W 58TH ST (5800 S),Car,44.72,29.07,20.18,4.36,1.67,17.16,41.78,55.68,0.32,black
2019,17,$53719.46,Streets & Transportation,Street Resurfacing (2019),ON S GREEN ST FROM W 78TH ST (7800 S) TO W 79TH ST (7900 S),Car,41.31,30.79,20.74,5.09,2.07,9.5,19.79,75.48,0.29,black
2019,26,$2350,Streets & Transportation,Street Speed Hump (2019),1400 N KARLOV AVE,Pedestrian,26.98,24.24,27.84,12.06,8.88,49.68,60.68,11.7,1.66,hispanic
2013,36,$51984,Streets & Transportation,Street Resurfacing Menu,ON N PIONEER AVE FROM W SCHOOL ST (3300 N) TO W ROSCOE ST (3400 N),Car,20.57,27.98,31.27,13.76,6.43,55.91,68.97,3.5,4.11,hispanic
2017,3,$8762.54,Streets & Transportation,Alley Resurfacing Menu (2017),W GARFIELD BLVD & S PRINCETON AVE:S WELLS ST & W 57TH ST,Car,33.11,16.03,23.03,13.22,14.61,23.16,4.82,63.03,9.81,black
2015,42,$3600,Beautification,Street Light Pole Painting Menu,ON W ONTARIO ST FROM N ORLEANS ST (340 W) TO N KINGSBURY ST (500 W) 400 Watt Changeout and Pole Painting,NA,12.23,8.49,25.32,18.39,35.57,73.34,5.98,4.62,18.51,white
2014,4,$29170,Streets & Transportation,Pedestrian Refuge Island,E 48TH ST & S LAKE PARK AVE,Pedestrian,34.69,17.76,23.36,11.39,12.8,25.02,4.3,60.88,10.35,black
2018,24,$3700,Streets & Transportation,Street Speed Hump (2018),ON S HARDING AVE FROM W 13TH ST (1300 S) TO W 14TH ST (1400 S),Pedestrian,45.5,27.1,20.35,5.37,1.68,13.02,22,74.93,0.28,black
2013,11,$131358,Streets & Transportation,Street Resurfacing Menu,ON S EMERALD AVE FROM W 37 ST (3700 S) TO W PERSHING RD (3900 S),Car,27.46,24,26.41,12.5,9.63,47.3,22.98,6.97,35.6,white
2021,50,$500,Lighting,Street Light Upgrade (2021),7411 N WASHTENAW AVE,NA,22.01,25.95,28.31,13.19,10.54,56.45,17,12.83,21.91,white
2018,39,$95564.45,Streets & Transportation,Street Resurfacing (1-5) (2018),ON N BERNARD ST FROM W FOSTER AVE (5200 N) TO W BALMORAL AVE (5400 N),Car,17.7,19.27,28.5,16.32,18.22,66.88,23.4,2.66,19,white
2015,10,$16801,Streets & Transportation,Street Resurfacing Menu (1-5),ON E 84TH ST FROM S MACKINAW AVE (3330 E) TO S GREEN BAY AVE (3400 E),Car,34.32,25.26,27.32,9.13,3.97,66.54,59.49,25.22,0.23,white
2014,14,$4577,Streets & Transportation,Sidewalk Menu,ON S KEDZIE AVE FROM W 51ST ST (5100 S) TO W 52ND ST (5200 S),Pedestrian,24.37,29.86,31.33,9.84,4.6,51.85,81.58,1.84,2.78,hispanic
2017,48,$60000,Streets & Transportation,Pedestrian Refuge Island Menu (2017),W NORWOOD ST & N BROADWAY,Pedestrian,27.55,24.5,27.89,10.81,9.25,66.05,14.5,14.91,12.94,white
2015,46,$80960,Streets & Transportation,Street Resurfacing Menu,ON N MALDEN ST FROM W WILSON AVE (4600 N) TO W LELAND AVE (4700 N),Car,27.39,18.54,27.77,14.4,11.9,67.71,12.88,18.39,7.65,white
2020,47,$8887.84,Streets & Transportation,Sidewalk (2020),4709 N DAMEN AVE,Pedestrian,10.93,16.32,29.62,18.22,24.92,85.33,12.23,2.65,5.58,white
2021,14,$6170.57,Streets & Transportation,Sidewalk (2021),4734-4742 W 51ST ST,Pedestrian,24.37,29.86,31.33,9.84,4.6,51.85,81.58,1.84,2.78,hispanic
2016,37,$9258,Streets & Transportation,Curb & Gutter Menu,1656 N LUNA AVE,Car,40.7,27.9,23.41,5.49,2.5,8.04,26,71.26,0.37,black
2018,13,$1301.16,Streets & Transportation,Curb & Gutter Menu (2018),3949 W 58TH ST,Car,16.64,25.68,34.07,15.91,7.7,61.67,66.53,2.43,0.42,hispanic
