annual_inc,issue_d
24000,2018-01-01
34000,2018-01-01
70000,2018-01-01
52083,2018-01-01
41500,2018-01-01
100000,2018-01-01
52000,2018-01-01
60000,2018-01-01
26000,2018-01-01
50000,2018-01-01
60000,2018-01-01
125000,2018-01-01
57000,2018-01-01
42000,2018-01-01
65000,2018-01-01
117750,2018-01-01
83000,2018-01-01
25000,2018-01-01
56375,2018-01-01
78000,2018-01-01
153000,2018-01-01
40000,2018-01-01
57000,2018-01-01
41000,2018-01-01
96000,2018-01-01
33000,2018-01-01
160000,2018-01-01
62000,2018-01-01
78000,2018-01-01
78000,2018-01-01
14567.39,2018-01-01
62000,2018-01-01
26000,2018-01-01
41498.6,2018-01-01
67761,2018-01-01
25332,2018-01-01
120000,2018-01-01
60000,2018-01-01
80000,2018-01-01
43000,2018-01-01
29000,2018-01-01
85000,2018-01-01
37676,2018-01-01
50000,2018-01-01
28000,2018-01-01
70000,2018-01-01
500,2018-01-01
60000,2018-01-01
33000,2018-01-01
45000,2018-01-01
40000,2018-01-01
39000,2018-01-01
35000,2018-01-01
16032,2018-01-01
33000,2018-01-01
36025,2018-01-01
180000,2018-01-01
85000,2018-01-01
39000,2018-01-01
85000,2018-01-01
92000,2018-01-01
50000,2018-01-01
81300,2018-01-01
93000,2018-01-01
60000,2018-01-01
59609,2018-01-01
62000,2018-01-01
34600,2018-01-01
73000,2018-01-01
52000,2018-01-01
63000,2018-01-01
170000,2018-01-01
40700,2018-01-01
67610,2018-01-01
140000,2018-01-01
130000,2018-01-01
23000,2018-01-01
35000,2018-01-01
40000,2018-01-01
90000,2018-01-01
82000,2018-01-01
65000,2018-01-01
98000,2018-01-01
150000,2018-01-01
125000,2018-01-01
78600,2018-01-01
100488,2018-01-01
92000,2018-01-01
85000,2018-01-01
40000,2018-01-01
30000,2018-01-01
12024,2018-01-01
35000,2018-01-01
10000,2018-01-01
70000,2018-01-01
62400,2018-01-01
83000,2018-01-01
42000,2018-01-01
165000,2018-01-01
7247,2018-01-01
53760,2018-01-01
66828,2018-01-01
19035,2018-01-01
30000,2018-01-01
48000,2018-01-01
80000,2018-01-01
78000,2018-01-01
125000,2018-01-01
55000,2018-01-01
47500,2018-01-01
70000,2018-01-01
40000,2018-01-01
166000,2018-01-01
81000,2018-01-01
50000,2018-01-01
80000,2018-01-01
105000,2018-01-01
37000,2018-01-01
35000,2018-01-01
425000,2018-01-01
84000,2018-01-01
130000,2018-01-01
108000,2018-01-01
70000,2018-01-01
59572,2018-01-01
32000,2018-01-01
75000,2018-01-01
60000,2018-01-01
53000,2018-01-01
135000,2018-01-01
125000,2018-01-01
80000,2018-01-01
64300,2018-01-01
42000,2018-01-01
48000,2018-01-01
49000,2018-01-01
190000,2018-01-01
55000,2018-01-01
10500,2018-01-01
3000,2018-01-01
620000,2018-01-01
48421,2018-01-01
60000,2018-01-01
35731,2018-01-01
37000,2018-01-01
72000,2018-01-01
55000,2018-01-01
52000,2018-01-01
49000,2018-01-01
57680,2018-01-01
135000,2018-01-01
21168,2018-01-01
102000,2018-01-01
76000,2018-01-01
55400,2018-01-01
50000,2018-01-01
54000,2018-01-01
58000,2018-01-01
70000,2018-01-01
175000,2018-01-01
50000,2018-01-01
54000,2018-01-01
39000,2018-01-01
90000,2018-01-01
225000,2018-01-01
