artist,role,text
Cardi B,rapper,"Belcalis Marlenis Cephus (née Almánzar; born October 11, 1992), known professionally as Cardi B, is an American rapper. Noted for her unfiltered public image and lyrics, Cardi B is one of the most successful female artists. From 2015 to early 2017, she gained recognition on Vine and Instagram, as a cast member on VH1's Love & Hip Hop: New York, and by releasing two mixtapes."
Cardi B,rapper,"Her first studio album, Invasion of Privacy (2018), debuted atop the Billboard 200 with the largest female rap album streaming week of all time, and Billboard later ranked it the top female rap album of the 2010s. Critically acclaimed, it made Cardi B the first solo female artist in history to win the Grammy Award for Best Rap Album, and Rolling Stone ranked it the best debut album of all time by a female rapper. Its singles ""Bodak Yellow"" and ""I Like It"" both topped the  Billboard Hot 100 and were certified diamond by the RIAA; the former made Cardi B the first female rapper to top the Hot 100 with a solo song in the 21st century and the first to achieve a diamond-certified song, while the latter made her the first with multiple number-one songs. Her third US number-one, the collaboration ""Girls Like You"" (2018) with Maroon 5, made her the first female rapper to earn multiple RIAA diamond-certified songs. She released ""WAP"" (with Megan Thee Stallion) in 2020 and ""Up"" in 2021, both of which topped the Hot 100 and other charts worldwide. ""WAP"" is the only female rap collaboration to debut atop the Hot 100, made Cardi B the first lead artist to top the Billboard Global 200, and had a large cultural impact."
Cardi B,rapper,"Cardi B holds various records among women in hip hop; she is the female rapper with the most number-one singles (five) on the Billboard Hot 100, the only female rapper to achieve multiple solo number-ones, and the only to earn number-one singles in two decades (2010s and 2020s). She further is the highest-certified (digital singles) female rapper of all time in the US, the first female rapper to earn at least three diamond-certified songs by the RIAA, and has over 100 million RIAA-certified units sold in the US. Additionally, Invasion of Privacy is the most-streamed female rap album on Apple Music and Spotify. She has won a Grammy Award, the most Billboard Music Awards (8), Guinness World Records (6), BET Hip Hop Awards (14) and ASCAP Songwriter of the Year awards (2) among female rappers, six American Music Awards and four MTV Video Music Awards. Time listed her as one of the 100 most influential people in the world in 2018 and Billboard named her Woman of the Year in 2020."
Cardi B,rapper,"Outside of music, Cardi B served as a judge on the music competition series Rhythm + Flow (2019), appeared in the films Hustlers (2019) and F9 (2021), and had a voice role in Baby Shark's Big Movie! (2023). In 2022, she became the creative director of entertainment magazine Playboy."
Cardi B,rapper,== Early life ==
Cardi B,rapper,"Belcalis Marlenis Almánzar was born on October 11, 1992, in the Washington Heights neighborhood of Manhattan, New York City. Her father Carlos is Dominican and her mother Clara is a Trinidadian of African and Spanish descent; Almánzar identifies as an Afro-Latina. Almánzar was raised in the Highbridge neighborhood of the South Bronx, and spent much time at her paternal grandmother's home in Washington Heights, which she credits with giving her ""such a thick accent."" Almánzar developed the stage name ""Cardi B"" as a derivation of Bacardi, a rum brand that was formerly her nickname. She has a younger sister, Hennessy Carolina, who was born in 1995. She has said she was a gang member with the Bloods in her youth, since age 16, but stated she would not encourage joining a gang. She attended Renaissance High School for Musical Theater & Technology, a vocational high school on the Herbert H. Lehman High School campus. Belcalis speaks Dominican Spanish, English as well as a smidgen of Russian and French."
Cardi B,rapper,"During her teens, Cardi B was employed at a grocery store in Tribeca. She was fired and became a dancer at a strip club across the street. Cardi B has said that becoming a stripper was positive for her life in many ways: ""It really saved me from a lot of things. When I started stripping I went back to school."" She stated that she became a stripper to escape poverty and domestic violence, having been in an abusive relationship at the time after being kicked out of her mother's house, and that stripping was her only way to earn enough money to escape the situation and get an education. She attended Borough of Manhattan Community College before eventually dropping out. While stripping, Cardi B lied to her mother by telling her she was making money by babysitting."
Cardi B,rapper,"In 2013, she began to gain publicity due to several of her videos spreading on social media, on Vine and her Instagram page."
Cardi B,rapper,== Career ==
Cardi B,rapper,=== 2015–2016: Career beginnings ===
Cardi B,rapper,"In 2015, Cardi B joined the cast of the VH1 reality television series Love & Hip Hop: New York, debuting in season six. Jezebel considered her the breakout star of the show's sixth season. The New York Times wrote that she garnered popularity with ""her ability to rattle off one-liners"". The sixth and seventh seasons chronicle her rise to stardom and her turbulent relationship with her incarcerated fiancé. On December 30, 2016, after two seasons, she announced that she would be leaving the show to further pursue a career in music."
Cardi B,rapper,"In November 2015, Cardi B made her musical debut on Jamaican reggae fusion singer Shaggy's remix to his single ""Boom Boom"", alongside fellow Jamaican dancehall singer Popcaan. She made her music video debut on December 15, 2015, with the song ""Cheap Ass Weave"", her rendition of British rapper Lady Leshurr's ""Queen's Speech 4"". On March 7, 2016, Cardi B released her first full-length project, a mixtape titled Gangsta Bitch Music, Vol. 1. In November 2016, she was featured on the digital cover of Vibe magazine's ""Viva"" issue."
Cardi B,rapper,"On September 12, 2016, KSR Group released the compilation Underestimated: The Album, which is a collaboration between KSR Group artists Cardi B, HoodCelebrityy, SwiftOnDemand, Cashflow Harlem, and Josh X. It was previously released only to attendees of their U.S. tour. the label's flagship artist, Cardi B, said: ""I wanted to make a song that would make girls dance, twerk and at the same time encourage them to go get that Shmoney,"" in regard to the compilation's single ""What a Girl Likes""."
Cardi B,rapper,"She appeared on the December 9, 2015, episode of Uncommon Sense with Charlamagne. On April 6, 2016, she was on the twelfth episode of Khloé Kardashian's Kocktails with Khloé: in this episode, she revealed how she told her mother that she was a stripper. In November 2016, it was announced that she would be joining the cast of the BET series Being Mary Jane. TVLine describes her character, Mercedes, as a ""round-the-way beauty with a big weave, big boobs and a big booty to match her oversize, ratchet personality."""
Cardi B,rapper,"In 2016, Cardi B was featured in her first endorsement deal with Romantic Depot, a large New York chain of lingerie stores that sell sexual health and wellness products. The ad campaign was featured on radio and cable TV."
Cardi B,rapper,=== 2017–2018: Breakthrough with Invasion of Privacy ===
Cardi B,rapper,"On January 20, 2017, Cardi B released her second mixtape, Gangsta Bitch Music, Vol. 2. In February 2017, Cardi B partnered with MAC Cosmetics and Rio Uribe's Gypsy Sport for an event for New York Fashion Week. In late February, Cardi B signed her first major record label recording contract with Atlantic Records. On February 25, 2017, Cardi B was the opening act for East Coast hip hop group The Lox's Filthy America... It's Beautiful Tour, alongside fellow New York City-based rappers Lil' Kim and Remy Ma. In April 2017, she was featured in i-D's ""A-Z of Music"" video sponsored by Marc Jacobs. Cardi guest-starred on the celebrity panel show Hip Hop Squares, appearing on the March 13 and April 3, 2017, episodes. She also released the freestyle ""Red Barz""."
Cardi B,rapper,"In May 2017, the nominees for the 2017 BET Awards were announced, revealing that Cardi B had been nominated for Best New Artist and Best Female Hip-Hop Artist. Although Chance the Rapper and Remy Ma won those categories, respectively, Cardi B performed at the BET Awards Afterparty show. On June 11, 2017, during Hot 97's annual Summer Jam music festival, Remy Ma brought out Cardi B, along with The Lady of Rage, MC Lyte, Young M.A, Monie Love, Lil' Kim, and Queen Latifah, to celebrate female rappers and perform Latifah's 1993 hit single ""U.N.I.T.Y."" about female empowerment. In June 2017, it was revealed that Cardi B would be on the cover of The Fader's Summer Music issue for July/August 2017. She performed at MoMA PS1 on August 19 to a crowd of 4,000."
Cardi B,rapper,"On June 16, 2017, Atlantic Records released Cardi B's commercial debut single, ""Bodak Yellow"", via digital distribution. She performed the single on The Wendy Williams Show and Jimmy Kimmel Live! The song climbed the charts for several months, and, on the Billboard Hot 100 chart dated September 25, 2017, ""Bodak Yellow"" reached the number one spot, making Cardi B the first female rapper to do so with a solo single since Lauryn Hill's ""Doo Wop (That Thing)"" debuted atop the chart in 1998. The song stayed atop the charts for three consecutive weeks, tying with American pop singer Taylor Swift's ""Look What You Made Me Do"" as the longest running female at the number one spot in 2017."
Cardi B,rapper,"Cardi B became the first person of Dominican descent to reach number one in the history of the Hot 100 since it was launched in 1958. An editor of The New York Times called it ""the rap anthem of the summer"". Selected by The Washington Post and Pitchfork music critics as the best song of 2017, ""Bodak Yellow"" was eventually certified Diamond by the Recording Industry Association of America (RIAA). The song received nominations for Best Rap Performance and Best Rap Song at the 60th Grammy Awards. It won Single of the Year at the 2017 BET Hip Hop Awards."
Cardi B,rapper,"With her collaborations ""No Limit"" and ""MotorSport"", she became the first female rapper to land her first three entries in the top 10 of the Hot 100, and the first female artist to achieve the same on the Hot R&B/Hip-Hop Songs chart. In October 2017, Cardi B headlined Power 105.1's annual Powerhouse music celebration, alongside the Weeknd, Migos, and Lil Uzi Vert, at the Barclays Center in Brooklyn, New York. In December, she released two songs: a collaboration with Puerto Rican singer Ozuna titled ""La Modelo"", and ""Bartier Cardi"", the second single from her debut album."
Cardi B,rapper,"On January 3, 2018, Cardi B was featured on the remix of Bruno Mars' single ""Finesse"", and appeared in the 90s inspired video. It reached the top three on the Hot 100, Canada and New Zealand. On January 18, 2018, Cardi B became the first female rapper to have five top 10 singles simultaneously on the Billboard Hot R&B/Hip-Hop Songs chart. She released another single, ""Be Careful"", on March 30, 2018, a week before her album's release."
Cardi B,rapper,"Her debut studio album, Invasion of Privacy, was released on April 6, 2018, to universal acclaim from music critics. Editors from Variety and The New York Times called it ""one of the most powerful debuts of this millennium"" and ""a hip-hop album that doesn't sound like any of its temporal peers,"" respectively. The album entered at number one in the United States, while she became the first female artist to chart 13 entries simultaneously on the Billboard Hot 100, on the chart issue dated April 21. It became the most streamed album by a female artist in a single week in Apple Music, and the largest on-demand audio streaming week ever for an album by a woman. Cardi held the latter record until 2019. The album's title reflects Cardi B's feeling that as she gained popularity her privacy was being invaded in a variety of ways. Following the album's release, during a performance on Saturday Night Live, Cardi B officially announced her pregnancy, after much media speculation. She also co-hosted an episode of The Tonight Show Starring Jimmy Fallon."
Cardi B,rapper,"Several months later, in July 2018, the album's fourth single, ""I Like It"", which features vocals from Bad Bunny and J Balvin, reached number one on the Hot 100; this marked her second number one on the chart and made her the first female rapper to achieve multiple chart-toppers. It received critical acclaim, with Rolling Stone naming it ""the best summer song of all time"" in 2020. Her collaboration with Maroon 5, ""Girls Like You"", also reached number one on the Hot 100 chart, extending her record among female rappers and also making her the sixth female artist to achieve three number-one singles on the chart during the 2010s. The song's music video has received more than 3 billion views on YouTube and was the fifth-best selling song of the year globally."
Cardi B,rapper,"With ""Girls Like You"" following ""I Like It"" at the top of the Billboard Radio Songs chart, Cardi B became the first female rapper to replace herself at number one on the chart. The single spent seven weeks atop the Hot 100, making Cardi the female rapper with the most cumulative weeks atop the chart, with eleven weeks. It spent 33 weeks in the top 10, tying both Ed Sheeran's ""Shape of You"" and Post Malone and Swae Lee's ""Sunflower"" for the longest top 10 run in the chart's archives at the time. In October 2018, Invasion of Privacy was certified double platinum by the RIAA, and the following year it was updated to triple platinum. With the thirteen tracks, she became the first female artist to have all songs from an album certified gold or higher in the US."
Cardi B,rapper,"Cardi B received the most nominations for the 2018 MTV Video Music Awards with 12 mentions—including for Video of the Year, winning three awards. She tied with Drake for the most nominations at the 2018 American Music Awards. She won three AMAs and performed at the ceremony. Her single ""Money"" earned her a fourth Video Music Award, with visuals that feature Cardi playing characters in different locations, including in an art museum, a bank and a strip club. Her collaboration with DJ Snake ""Taki Taki"" topped the charts in a number of Hispanic countries, made Cardi B the first female rapper to top the Spotify Global 50 chart, and has garnered more than 2 billion views. Both singles were certified multiple-platinum by the RIAA. People en Español named her Star of the Year, and Entertainment Weekly deemed her ""a pop culture phenomenon"", as she was named one of ""2018 Entertainers of the Year""."
