id,dttm,topic,text
126415614616154110,2011-10-18T21:53:25Z,apple,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
1.2640457423074099e+17,2011-10-18T21:09:33Z,apple,@Apple will be adding more carrier support to the iPhone 4S (just announced)
126402758403305470,2011-10-18T21:02:20Z,apple,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
126397179614068720,2011-10-18T20:40:10Z,apple,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
126395626979196930,2011-10-18T20:34:00Z,apple,I just realized that the reason I got into twitter was ios5 thanks @apple
126394830791254e3,2011-10-18T20:30:50Z,apple,"I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone"
126379685453119490,2011-10-18T19:30:39Z,apple,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
126377656416612350,2011-10-18T19:22:35Z,apple,Great up close & personal event @Apple tonight in Regent St store!
126373779483004930,2011-10-18T19:07:11Z,apple,From which companies do you experience the best customer service aside from @zappos and @apple?
126366353757179900,2011-10-18T18:37:41Z,apple,"Just apply for a job at @Apple, hope they call me lol"
126366123368267760,2011-10-18T18:36:46Z,apple,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
126365858481188860,2011-10-18T18:35:43Z,apple,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
126360935509135360,2011-10-18T18:16:09Z,apple,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
126360398885687280,2011-10-18T18:14:01Z,apple,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
126358340220616700,2011-10-18T18:05:50Z,apple,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"
126357982685569020,2011-10-18T18:04:25Z,apple,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
126352268705538050,2011-10-18T17:41:43Z,apple,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”"
126350302113824770,2011-10-18T17:33:54Z,apple,"Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry."
1.2634969567620301e+17,2011-10-18T17:31:29Z,apple,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards
1.2634226860399821e+17,2011-10-18T17:01:58Z,apple,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty."
1.2632580008039219e+17,2011-10-18T15:56:32Z,apple,@DailyDealChat @apple Thanks!!
126324177501302780,2011-10-18T15:50:05Z,apple,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
126323785145126910,2011-10-18T15:48:32Z,apple,@apple..good ipad
126322063332999170,2011-10-18T15:41:41Z,apple,@apple @siri is efffing amazing!!
126319186141130750,2011-10-18T15:30:15Z,apple,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM
126318009647235070,2011-10-18T15:25:35Z,apple,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
126315223060709360,2011-10-18T15:14:30Z,apple,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
126315011600678910,2011-10-18T15:13:40Z,apple,"When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered

"
126314687116750850,2011-10-18T15:12:22Z,apple,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
126312877916307440,2011-10-18T15:05:11Z,apple,&lt;3 #ios5 @apple
126311981564178430,2011-10-18T15:01:37Z,apple,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
126307801046847490,2011-10-18T14:45:01Z,apple,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...
126302673820594160,2011-10-18T14:24:38Z,apple,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
126301956951117820,2011-10-18T14:21:47Z,apple,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
126287654093471740,2011-10-18T13:24:57Z,apple,At the bus with my iPhone ;) thxx @apple
