artist,song,line_number,text,stanza,source_url
Aesop Rock & Blockhead,Difficult,1,Ayy,1,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,2,Pulled pork sliders,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,3,Headed for satori in jorts and horse blinders,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,4,"I'm more for the sordid, got nan for the normies",2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,5,"Cornered, my storm got plans for the Dorothies",2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,6,"I storm off, forged from my gramp's war stories",2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,7,Short sword swinging like a dance floor in the forties,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,8,My oars both row in a ocean of fringe science,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,9,The low road's owner of the most pinched lighters,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,10,I maybe got a thousand,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,11,My crane kick plays like a train through a mountain,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,12,My neck chop plays like blades on a frisbee,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,13,"All tally-ho, had the whole place in a tizzy",2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,14,Is you widdit?,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,15,"Fake name, wake made of windswept village",2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,16,Visit where the simps get skittish,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,17,Some get a signal to the ships in the distance,2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,18,"Most get crickets, it's slim pickings",2,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,19,Folk say I'm difficult,3,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,20,I'm too stubborn,3,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,21,"It's funny, I'm real easy",3,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,22,Y'all buggin',3,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,23,"I like film cameras, and slim chances, and",4,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,24,I always put the chips in the sandwich,4,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,25,"Yeah, bitch, picture a hiccup in the curriculum",4,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,26,"Clearing off his coattails, tones yelling, ""Finish him""",4,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,27,"Stone-faced, always with the same two sidekicks",4,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,28,"One, no, both are comedically oversized fists",4,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
